Source,Target,Type
30,1330,Undirected
30,1331,Undirected
27,1332,Undirected
30,1333,Undirected
30,1172,Undirected
22,1334,Undirected
27,1335,Undirected
27,1336,Undirected
30,71,Undirected
33,990,Undirected
27,1337,Undirected
27,1338,Undirected
23,533,Undirected
23,1339,Undirected
1,1340,Undirected
1,1341,Undirected
30,1342,Undirected
23,662,Undirected
23,1343,Undirected
27,1344,Undirected
23,1345,Undirected
32,1346,Undirected
32,1347,Undirected
32,1348,Undirected
27,1349,Undirected
23,682,Undirected
23,1350,Undirected
30,1351,Undirected
33,1352,Undirected
27,1353,Undirected
31,741,Undirected
30,1354,Undirected
27,820,Undirected
32,1355,Undirected
23,1356,Undirected
32,1357,Undirected
30,1358,Undirected
30,1359,Undirected
23,1360,Undirected
